	HC18_FB_2_ZT10	HC18_FB_2_ZT12	HC18_FB_2_ZT14	HC18_FB_2_ZT16	HC18_FB_2_ZT18	HC18_FB_2_ZT2	HC18_FB_2_ZT20	HC18_FB_2_ZT22	HC18_FB_2_ZT24	HC18_FB_2_ZT4	HC18_FB_2_ZT6	HC18_FB_2_ZT8	HC18_FB_ZT10	HC18_FB_ZT12	HC18_FB_ZT14	HC18_FB_ZT16	HC18_FB_ZT18	HC18_FB_ZT2	HC18_FB_ZT20	HC18_FB_ZT22	HC18_FB_ZT24	HC18_FB_ZT4	HC18_FB_ZT6	HC18_FB_ZT8
FBgn0000008	8.27587	7.177284062	6.00028	6.446446	6.476483	6.369516	7.204478	10.879262	9.01972	9.074742	12.411548	9.70862	7.250921	9.797655	5.8398	7.223075	7.144156	8.70195	8.70195	8.827134	11.328343	12.379842	13.46775422	14.856331
FBgn0000014	3.300019	5.643242444	6.346822	4.363853	3.63229615	5.0028185	5.290852	3.764616	4.29348269	3.40562687	3.380542	5.049571332	4.855004219	10.792858	5.591877	7.09132447	9.566111	7.753740637	7.753740637	7.698800023	7.280225	7.78151	6.635775	8.68139
FBgn0000015	0.525903	0.406565	0.617282	0.559594	0.508195619	0.74907	0.2926624	0.666169386	0.3873	0.5563861	0.719154403	0.547918	1.2415583	3.5071086	1.703891	1.691284	2.074173	3.234585666	3.234585666	1.11072469	1.746008512	3.534745025	2.670862	3.974895
FBgn0000017	2.590787309	3.515997747	3.615471594	4.7283125	2.31390312	3.3936262	3.240442477	2.526341458	3.9062434	2.2943521	2.0555488	4.23738168	5.7899119	19.4784831	11.29195837	13.79925668	11.33617312	7.3792727	7.3792727	8.197443277	9.39966101	8.72968404	8.183133456	10.1963913
FBgn0000018	6.37362	6.44794	7.13459	10.1008	8.86735	5.79464	10.8671	10.0872	8.99812	7.56452	8.04813	7.12077	8.50055	11.2474	7.99603	10.7988	11.0965	11.862	11.862	10.2575	10.3277	9.36607	9.78581	10.2863
FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0	0.148689	0	0	0	0	2.3057	2.3057	0.103575	0	0	0	0
FBgn0000024	0.278947	0.7127797	0.825857	0.676084	0.23007401	0.609224	0.4657	0.577134	0.528833	0.4051655	0.963485	0.610571	1.922924	1.93549	1.25669	1.0745205	1.2042832	0.93534	0.93534	1.1182721	2.902003	0.74437	1.131218	0.957195
FBgn0000028	0.052195	0	0.0442913	0.0863937	0.0307476	0.043252462	0.0580927	0.0321031	0	0.034105853	0	0.058	0.0257623	0.0967386	0.03458	0.141448	0.0983451	0.0951169	0.0951169	0.161511	0.20385	0.102413	0.0276948	0
FBgn0000032	19.8323	12.9661	15.46179377	29.08230915	15.53146	13.88870003	18.6243	17.4632	20.3888	11.6475	18.62172	22.9458	25.9412275	30.987016	27.0996	24.883	19.7849	22.3623	22.3623	22.58710002	34.6132	19.4081009	17.3631	20.5392
FBgn0000036	0	0	0	0.00826597	0	0.0189682	0.0222327	0.00984023	0	0.02232588	0.0570842	0	0.0591571	0.0555345	0.0529367	0.0166565	0.064522	0.021841688	0.021841688	0.04100738	0.0910185	0	0	0
FBgn0000037	0.04182871	0.033147939	0	0.121162149	0.024640911	0.099297996	0.046555047	0.041210562	0.093293392	0.015659633	0.32031608	0.037227237	0.204284	0.239718	0.304833762	0.165672675	0.213921525	0.226271	0.226271	0.1573843	0.844047989	0.11490208	0.088777682	0.188858795
FBgn0000038	0.191328	0.758106	0.0811778	0.526705	0.411691	0.545037	0.31942	0	0.37339	0.0716284	0.274716	0.17028	0.802698	1.922573	1.83799	0.398843	0.875494	1.618406	1.618406	0.493367	3.67393	0.450491	0	0.0863857
FBgn0000039	0	0.161705	0	0.0422188	0	0.0968811	0.275064	0.0502594	0.113778	0	0.195325	0	0.050358	0.0945483	0.785921	0.127611	0.329549	0.185927	0.185927	0.315709	1.52747	0.120113	0.0541356	0.0460656
FBgn0000042	442.0106	1130.496771	563.2118	522.714068	230.0732	355.082036	259.874767	372.0095	393.3278	427.354725	524.981552	496.852482	623.481576	930.77442	1863.188444	1140.660432	809.688761	396.366168	396.366168	519.3838	764.3956	946.7171495	654.295	1200.516828
