	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0000560	0.24911	0.0746963	0	0	0	0.0583642	0.0528432	0.102743	0.0522693	0	0	0.0448393
FBgn0000562	12.52492	9.33369	12.82298636	11.4311713	6.98102	10.72711	14.9604	16.22080001	12.332984	9.215996	8.6509	10.704814
FBgn0000564	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000565	325.4926	383.57508	349.00582	330.82254	405.54537	328.129837	435.9622	395.59131	327.96106	425.7779	323.69928	690.91379
FBgn0000566	80.50245	63.75866	76.8014	58.58043	59.61802	47.4878	104.4669	63.52901	59.2807	64.79608	62.27	88.0631
FBgn0000567	1.737343	1.1487353	1.923508	1.4551752	0.992885	1.312948	1.759792	3.041024	1.426173	1.2962845	0.63739	1.8676583
FBgn0000568	4.413834	2.5978748	4.7702985	3.87417	1.8878125	3.9424285	4.3211536	11.7324054	4.2535667	3.0274553	2.299111	5.8808538
FBgn0000575	21.3426	10.0838	16.5352	16.5091	4.87493	16.9854	15.0919	23.5234	16.0272	11.2539	9.49209	15.574
FBgn0000576	0.175	0.205669	0.0693675	0.0318702	0.0363052	0.09642	0.0581994	0.141447	0.0575674	0.0637728	0.0579345	0.148153
FBgn0000577	0.132003	0	0.104648	0	0	0	0.0878	0.0284516	0.0868464	0.0160347	0.0291334	0.0248338
FBgn0000578	3.222299	1.207943	3.370954	2.2808231	1.003336	1.586292	3.278691	3.894946	2.791297	1.4423966	1.3996681	1.8773
FBgn0000579	664.15387	652.1168	753.52188	576.25857	793.21401	479.442268	614.673859	719.70365	696.74308	485.947934	543.825938	566.585687
FBgn0000581	4.722417775	2.111646365	6.024402034	3.761508443	1.532212067	2.864508599	7.757549	7.363349	5.198321	2.791648012	2.55983102	4.321212013
FBgn0000588	3.31251	2.1178	6.25001	3.64368	1.70427	1.36274	7.53516	1.92772	5.31758	2.4384	3.86009	2.13128
FBgn0000591	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000592	223.5978	267.476	204.5333	267.8699	222.134	285.387	204.0832	183.6139	165.9674	258.4723	183.9125	195.3389
FBgn0000594	0.369573	0.333172	0	0.440543	0.816695	0.722308	0	0	0	0.445404	0.251763	0
FBgn0000606	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000611	30.50634002	22.38932004	26.14905	24.13680038	12.755772	24.64778003	28.13486002	33.60158	27.8220814	20.462686	19.12411	23.28098
FBgn0000615	21.67910119	12.8413915	64.0976949	22.97818233	16.346647	8.4650533	114.244439	21.57480303	55.70822601	35.732494	60.9029541	19.38527987
FBgn0000617	10.7791	9.5264	13.3307	9.85442	10.5549	7.20593	13.9806	11.0821	13.6869	7.65972	9.56346	10.8896
FBgn0000618	17.711	22.2025	21.5812	21.0251	20.6849	16.6252	22.4697	20.5715	21.3625	20.6772	22.1502	19.4365
FBgn0000625	0.135241	0.115972	0.0536075	0.0145731	0.0332021	0	0	0.0531723	0	0.012321	0.022386	0.0696165
FBgn0000629	8.58981895	7.417349503	11.001961	9.65595	6.35613436	7.98854	15.08017	11.21483779	10.92483	9.132137135	9.4462959	8.829468
FBgn0000633	0.0351079	0.0165042	0.055665	0.0127895	0.0145753	0.064478	0.0116757	0.0340518	0.0115489	0.00639693	0	0.0198146
FBgn0000635	5.1675	4.16284	4.72514	5.00181	1.772321	5.15479	5.925184026	11.909931	3.71990276	3.4254416	2.2802515	6.951705
FBgn0000636	5.51143167	3.831939764	6.959199	4.3445696	2.733726	3.393572	8.1486792	9.6069837	5.012095	2.577178	1.9662334	3.441192
FBgn0000639	0.3738251	0.3807517	0.2469657	0.2609727	0.2585088	0.205963	0.02072012	0.06042972	0.0204949	0.1248783	0.1031298	0.03516421
FBgn0000640	1.335355	0.1395	0.117625	0.0540418	0	0.108999	0.296064	0.147363	0.0976161	0.0540693	0.0982387	0.0837401
FBgn0000644	1.56607	2.57673	7.86304	1.9489	0.54149	0.479366	63.5405	0.675093	1.97481	0.903608	1.03691	0.515593
FBgn0000658	0.237963	0.139833	0.353718	0.13001	0.0987346	0.152962	0.158277	0.403908	0.117419	0.130076	0.137862	0.285396
FBgn0000659	0.536318	0.391518	0.102622	0.3223047	0	0.325032	0.0346218	1.649229	0.0962318	0.1517496	0.0861609	0.7638249
FBgn0000662	15.08525	10.1452	14.23812	11.759379	7.21059	11.82446	16.465673	18.71548	14.112391	9.812688	8.830345	12.24986995
FBgn0000667	26.36494389	16.18499927	26.0033402	15.69834647	11.22750145	14.60125934	22.96746902	32.52549261	20.33932352	11.8895049	10.16808451	17.13402822
FBgn0000709	8.31605	7.00851	11.5116	8.80438	6.99032	6.42574	13.3554	10.9217	10.0637	7.65476	8.31624	8.24402
FBgn0000711	7.63797	3.736164	7.73259	6.20305	2.355425	5.49732	9.26808	11.74635	7.50371	4.68288	3.79286	7.955789
FBgn0000715	0	0	0	0	0	0	0	0	0	0.503003	0.913908	0
FBgn0000719	5.103747092	2.6344658	4.4956312	3.535634031	1.716248	3.74929367	5.324979698	5.521808688	3.90646849	2.759435169	2.296988	4.728055
FBgn0000721	131.2147687	112.1369545	126.3717696	131.027818	98.21658933	149.323635	119.463998	148.7583975	119.1925477	135.0680818	106.9191348	150.9383434
FBgn0000723	11.89794765	9.08302096	8.569529364	7.709773098	3.944191902	11.27391505	4.9783643	10.159194	6.089703784	6.253379331	5.316727	6.166396
FBgn0000808	0.465096792	0.38262765	0.829607942	0.590044	0.241219748	0.213548438	1.87716	0.497406	0.692235	0.527072	0.881004	0.360932342
FBgn0000810	2.58615	1.47861	6.12295	3.65325	1.10203	2.38765	6.83406	6.12399	5.26531	2.99286	3.54031	3.96458
FBgn0000826	2.72422	1.53678	8.12039	3.57208	2.17022	0.480309	14.4958	1.69105	8.17287	3.93128	6.70986	0.984014
FBgn0000927	5.63175	2.3482	15.2187	5.83269	3.53553	0.899399	23.7782	5.79483	13.1454	6.65658	11.6728	3.09559
FBgn0000928	0.150933	0.255433	0.670069	0.296862	0.175349	0.155231	0.903518	0.429419	0.297902	0.253011	0.459696	0.0851852
FBgn0000964	6.23734	3.61538	7.96924	3.95916	2.06032	4.40416	9.42512	8.79066	7.13152	3.27706	3.22764	6.93804
FBgn0000996	6.841458	3.43545	8.967597	8.18351	3.032178	2.370173	17.40044	3.29269	8.87427	4.334652	6.434346	3.334713
FBgn0001075	0.0658603	0.0506632	0.052212	0.0501574	0.0149054	0.0219922	0.0398236	0.112272	0.0630258	0.0218186	0.00792847	0.0912376
FBgn0001077	0	0	0	0.0230578	0	0	0	0	0	0	0	0
FBgn0001078	2.503968	0.935276	4.646907	2.256045	0.5908431	1.419316	5.893944	6.31739	4.004299	1.493395	1.900521	1.995342
FBgn0001079	4.01831	3.28303	4.42876	3.98763	2.70335	3.23426	5.80176	5.342	4.34168	2.80461	2.71989	3.8097
FBgn0001083	0.4	0.576653	0.634214	0.33023315	0.420447	0.3134401	0.283791	0.626088	0.2631642	0.22350586	0.21186564	0.325207
FBgn0001084	2.51485	1.32132	2.58008	2.1822	1.78001	1.03241	2.85346	2.152238	2.62781	1.61727	1.861	1.75332
FBgn0001085	0.88187	0.388656	2.03182	0.983686	0.320164	0.202452	3.06112	0.94444	1.903756	0.532264	0.8211	0.466612
FBgn0001086	3.60652	0.83467	5.9822	6.083	1.24317	0.52989	13.1013	1.82974	5.84067	3.07338	5.06971	1.84759
FBgn0001087	4.337273	2.295648	4.699032	3.661941	1.796896	3.0202	7.85678	9.08842	5.213606	2.583763	2.296891	4.97625
FBgn0001089	12.8234	7.86295	8.766320002	7.919820015	6.400180091	7.61141	4.94451	6.45916	7.27508	7.48363	5.35268	5.454269882
FBgn0001090	6.72788	4.41747	5.129566	5.210682	4.39465	4.546830046	4.211707	10.06802	6.089238	3.384006	2.351428	6.85675
FBgn0001091	759.6385	721.1733	876.5755	591.6477	807.2221	475.03727	612.2861	697.9209	620.8903	503.9723	555.448	575.8188
FBgn0001092	1120.148	1052.047	1133.431	1044.541	1168.734	982.058	1068.411	1063.428	1016.435	984.169	1013.84	975.42
FBgn0001098	81.53827	66.74184	80.28165	62.64922	55.90245	51.50676	85.04688	82.161809	59.84742	45.79132	46.71162	75.5127
