	HC18_FB_2_ZT10	HC18_FB_2_ZT12	HC18_FB_2_ZT14	HC18_FB_2_ZT16	HC18_FB_2_ZT18	HC18_FB_2_ZT2	HC18_FB_2_ZT20	HC18_FB_2_ZT22	HC18_FB_2_ZT24	HC18_FB_2_ZT4	HC18_FB_2_ZT6	HC18_FB_2_ZT8	HC18_FB_ZT10	HC18_FB_ZT12	HC18_FB_ZT14	HC18_FB_ZT16	HC18_FB_ZT18	HC18_FB_ZT2	HC18_FB_ZT20	HC18_FB_ZT22	HC18_FB_ZT24	HC18_FB_ZT4	HC18_FB_ZT6	HC18_FB_ZT8
FBgn0000008	172.9997	186.9996794	149	328.9999	232.0002	281.0005	275.0002	468.9997	340	515.0005	273.0004	227.0003	311.00024	889.9999	187.9999	710.9999	568	514.00032	514.00032	519	361.0004	657.9998	535.000507	688.9997
FBgn0000014	66.99996	140.0000607	146	200.99956	115.000042	202.9999138	178.99998	161	155.9999481	183.000317	71	114.0000295	196.0002486	907.9999	173.00002	669.254374	680.0008	414.9999352	414.9999352	428.9990013	221	395.9995	244.0001	378.0001
FBgn0000015	9	10	12.99999	19.99996	13.9999953	27.00001	8	19.9999768	15	27	13.00000523	12.99997	39.999994	228.00048	39	129.9999	126.0001	137.0000768	137.0000768	55.99997509	45.9999511	143.0000408	78.00003	136.9999
FBgn0000017	148.1076927	246.4978934	241.6961954	560.97546	221.2595838	400.09036	322.646407	281.8073089	388.27172	345.766171	122.757615	261.8807812	653.81632	4747.01762	966.030354	3758.13102	2385.907221	1145.059998	1145.059998	1347.483518	812.872602	1261.379932	869.7704337	1271.93912
FBgn0000018	47	60	62	180	111	90	144	151	119	149	62	59	127	358	89	382	304	240	240	220	117	176	136	168
FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21	21	1	0	0	0	0
FBgn0000024	7	24.999949	19.00004	36.99997	13.9999752	30	20.00002	25.00004	24	23.999979	19.99998	14.99999	74.99993	236.9996	47	147.00029	117.00002	78	78	75.99992	143.9998	55	45	59
FBgn0000028	1	0	1	4	1	1.000000234	2	1	0	0.999999532	0	1	1	8	1	13	7	5	5	9	6	5	1	0
FBgn0000032	160	132	146.9998634	567.0001727	211.0004	236.0000006	270	286	295	251	155	208	423.999997	1077.9962	330	963	593	495	495	530.0000005	429	399.000018	264	367
FBgn0000036	0	0	0	1	0	2	2	1	0	2	2	0	6	12	4	4	12	3.000002471	3.000002471	5	7	0	0	0
FBgn0000037	0.999999913	1.000000341	0	6.999995485	0.999999639	5.000000165	2.000000733	2.000003047	4.000002647	1.000000115	8.00000249	1.000000424	10	25	10.99996424	18.99997826	19.0000471	15	15	11	30.99995944	6.999996513	3.999996524	9.999996029
FBgn0000038	2	10	1	8	4	12	6	0	7	2	3	2	17	69.00004	29	20	34	35.99999	35.99999	15	59	12	0	2
FBgn0000039	0	2	0	1	0	2	5	1	2	0	2	0	1	4	12	6	12	5	5	9	23	3	1	1
FBgn0000042	3620.273	11248.39543	5383.183	10499.18408	3274.9373	6157.60924	3924.50947	6230.162	5829.169	9416.7469	4443.68568	4643.15933	10509.56284	33754.7362	23290.3591	45665.1014	25200.80202	9273.47275	9273.47275	12843.596	9976.022	20039.09706	10299.592	21705.5867
FBgn0000043	407	242	193.042	1333	223	251	294	716	723.134	252	233	554	932.653	2584	1048.11	2265	1038	941	941	624	940	608.037	320	955.052
FBgn0000044	5290.18	10770.2	10248.9	11521.9	9879.45	15724	10542.9	9876.09	12923.8	13484.7	6092.66	7647.33	13743.4	50177.1	19330.4	50051.6	44945.9	19591.5	19591.5	27645.1	13510	35806.2	19895.9	33837.3
FBgn0000045	75.1396	355.1431	227.1617	235.0277	160.1338	251.09	131.0793	159.0062	177.026	202.2528	113.1375	131.128	472.592	677.2602	625.826	1013.009	1186.339	426.9233	426.9233	623.1463	393.143	732.402	828.429	1120.109
FBgn0000046	871.391	1951.171	1692.601	2011.774	1767.303	2875.21	1657.325	1785.553	2239.816	2228.023	1140.488	1231.017	2323.228	8886.76	3684.101	8999.85	7895.8	3552.763	3552.763	5136.137	2520.468	7189.96	3902.131	7388.58
FBgn0000047	1.01318	10.1234	5.11929	5.14623	20.1835	3.07206	11.1858	9.19275	2.02875	12.2369	1.02444	15.3697	30.577	12.1426	57.1878	24.4377	126.197	23.3082	23.3082	67.047	42.3825	16.2822	69.923	184.423
FBgn0000052	1583.001	2374.005009	1219	3530.997	1662.999	3560.999	1980.996	3238.996	2707.998	4220.002	1938.999	1922.996	3324.005	6972	2447	5874.996	3714.999	2931.996	2931.996	2818.003	2215	3980.999	2769.999	3250.002
FBgn0000053	3247.998	3755.0039	3011.004	6248.001	2950.004	5199.0037	3356.996	4070.999	3053	6341.996	2726.001	2631.997	3962.998	10042.9998	2303.9975	9136.0012	5659.003	3814.0043	3814.0043	3314.9997	2374.0038	3660.0015	3629.9967	3187.0047
FBgn0000055	44995.81	35930.27	30893.34	59642.07	52842.81	82116.28	47195.81	71331.27001	48582.84	135115.78	49387.91	44656.17	47835.03001	62873.48	13416.756	82519.43	45301.03	52547.1	52547.1	48479.31	30169.56	52965.76	45617.37	33484.55038
FBgn0000056	1297.21	1040.71	1063.69	2064.87	1582.210001	2739.68	1525.21	2316.770006	1503.150001	4639.98	1663.11	1323.87	1858.020009	3756.48	590.226	4485.53	1949.95	3044.9	3044.9	2921.71	1887.44	2677.16	2546.61	1420.400381
FBgn0000057	175	187	116	439	335	488	379	467	377	564	202	179	352	511	190	578	548	429	429	518	272	403	303	348
FBgn0000061	2	0	2	2	1	2	1	0	1	4	0	0	1	4	2	6	4	5	5	4	1	4	2	14
FBgn0000063	17.0000023	6	0	56.000001	7.000000784	5.000000197	8.000000466	7.000000072	14.00000039	1.000000016	4.000000307	18	44	79	40	111	4.000000081	20	20	11.00000217	17.00000182	8	4.000000312	9.000001166
FBgn0000064	6834.997	8384.9988	7216.999	12781.99601	10916	14921.9881	10707.00308	14643.00301	11548.99403	22073.0083	7975.006568	7593.00167	10864.0022	21019.958	6249.002843	23536.009	18662.99	15917.03589	15917.03589	15487.99267	7713.0009	14134.005	11241.005	15572.999
FBgn0000071	0	0	0	0	0	0	0	0	2.000001176	0	0	0	4.999998648	0	0	0	1.000000446	292.0003	292.0003	0	0	0	0	0
FBgn0000075	0	0	0	0	0	2	1	1	2	2	0	0	5	9	0	4	2	16	16	0	5	5	2	5
FBgn0000077	54	79	86	165	116	131	124	143	123.0004	163.0003	54	74.00001	146	281	103	404	361	266.9997	266.9997	282.0003	130	185.0003	122	154.9999
FBgn0000078	824.805	803.877	225.536	563.984	451.794	453.368	353.97	477.538	553.639	628.898	330.241	179.94	638.282	1235.53	210.219	1064.49	399.511	130.372	130.372	369.62	108.642	674.104	1006.88	1753.06
FBgn0000079	383.1949	501.1225	13.4636	110.016	53.206	14.6319	30.0302	18.4623	137.36093	26.1019	97.7588	11.0603	292.7183	620.473	15.78110021	375.506	18.4888	14.6283	14.6283	124.38	43.3577	326.896	670.124	915.9383
FBgn0000083	694.305624	1549.928502	1444.292533	2438.4021	1503.625237	1816.0549	1506.3703	1675.11528	1667.975864	2077.051	852.1578004	861.8863156	1789.06659	4909.903	3212.1842	7255.792167	6349.7497	2421.526838	2421.526838	2886.824649	1237.851	3336.7379	1795.5271	3814.979085
FBgn0000084	602	813	824	1479	1132	1477	1038	1320	1320	1715	625	691	897	971	746	1380	1864.001	402	402	563	240.9999	1160	709	1639
FBgn0000092	3	4	4	11	7	12	5	6	5	10	3	2	10	26	10	23	31	12	12	14	4	11	9	24
FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	105.8311	150.262	159.5359548	369.00515	133.4515	246.7224001	216.212	216.49	226.2589001	263.5048	122.73	169.7697001	308.1813	1093.0174	355.5918751	933.956	596.7233	402.6930018	402.6930018	366.6490002	257.0268734	353.4554	230.3845835	419.2734
FBgn0000100	10592	13561	11470	30195	17662.97	22385.98	18130.02	22938.01	18913.96	26021.99	10786	11761	19627.05	29252.96	12709	32459.96	28121.02	13748.9777	13748.9777	16423.00043	10738	17113.96	11864	16450
FBgn0000108	10	24.00002	19.00004169	35	7	28.99997	29.000013	16.9999636	32.99996	32.00005	12.99996594	23.0000082	49	186	47	107.999588	115	52	52	65	138	41	29.99999	37.99996
FBgn0000109	171	195	206	382.0003	279.9998	389.0004	299.9998	341.9994	292.0001	478.999	183.9997	205	303.9999	727	261.0004	844	675	533.999	533.999	597.0001	288.000287	468.9994	403.0005	381.0005
FBgn0000114	406.0004	151.9999	266.99997	1990.99931	311.0001	307.00001	654.00045	791.9995	769.99973	377.0001	312.99965	612.99972	1373.00043	4083.00365	1064.99986	2594.99651	630.9994776	734.99998	734.99998	654.9997825	1723.0026	330.00008	250.0001	805.00028
FBgn0000115	135	152	134	330	217	313	229	325	272	425	155	176	295	415	176	505	430	200	200	251	140	334	225	364
