	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0052412	46.6655	34.2458	39.8933	35.2899	33.9168	34.7373	30.0099	35.9179	28.5516	26.5831	27.7942	29.2824	33.7377	27.3249	26.6886	40.7422	38.3937	68.4497	38.6376	30.9002	41.6862	91.129	41.9969	31.0987
FBgn0052413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298903	0	0	0	0	0	0	0	0
FBgn0052418	18.3185	12.3495	25.0422	13.6337	14.9168	19.302	15.3393	20.5377	20.54	14.0273	14.4069	13.941	17.0122	15.1279	13.9892	25.4386	9.2302	30.0971	21.511	15.625	21.8269	27.0318	16.4816	19.551
FBgn0052423	16.8805839	11.593386	26.172204	15.060529	15.075519	17.7574274	11.827724	17.108611	19.146779	17.523992	19.698274	18.905661	20.870882	20.490677	21.080901	30.29618847	14.0736399	25.120768	18.373196	15.474412	26.57376	49.223106	27.77067	15.551963
FBgn0052425	216.6765917	225.12034	238.04401	194.60103	228.1733	168.06209	158.30869	184.27803	131.95171	190.461865	155.26855	195.61287	204.094714	135.89815	129.28124	155.36064	79.27343	135.8542235	78.20332	225.219403	112.32738	141.6918	124.78035	165.61189
FBgn0052428	28.65045	23.80214	41.59953	21.80937001	25.73599	29.38431	20.82249	30.51929	31.70514	29.83294	29.03949	27.47867	32.4793	45.357885	37.4841	42.581246	45.2719	48.57216	46.0094	32.9514	43.50844	61.506523	42.5018	31.35772
FBgn0052432	0.02061732	0.057395589	0	0.048642942	0	0.037936914	0.019077844	0.06289802	0.050734697	0.043084077	0.053007862	0.040530347	0.284636854	0.026987074	0.042004542	0.028079134	0.057197636	0.114720637	0	0	0.048794968	0	0.029401781	0
FBgn0052436	0.084238	0.015642	0.0322851	0.019885	0.0576932	0.0531717	0.0467936	0.0171416	0.124441	0.0352252	0.0433387	0.0329998	0.0517146	0.0882573	0.0684725	0.0459145	0.0467642	0.156324	0.088744	0	0.299207	0.0745837	0.0240387	0.0210674
FBgn0052437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0897797	0	0	0	0	0.0672321	0	0	0	0
FBgn0052438	6.164522005	1.295819	6.124363	2.2768	2.24319	3.53132355	1.112789347	3.069276357	3.458305	3.0606432	2.43246	2.5006712	3.602646	3.455130275	3.86236	8.465540148	1.96854	10.49593274	4.522521807	2.343258	5.944914057	20.7254	4.20954	2.56083254
FBgn0052440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275487	0	0	0	0	0	0	0	0
